database,analysis,outcome,analysis_n,propofol_n,dexmedetomidine_n,propofol_weighted_percent,dexmedetomidine_weighted_percent,risk_difference_percent,RD_CI95_low,RD_CI95_high,risk_ratio,RR_CI95_low,RR_CI95_high
eICU-CRD,at_least_20_observed_hour_bins,hourly_any_instability_24h,4842,3856,986,54.80344407323163,61.142205355538,6.338761282306371,1.7088657857011926,12.06787931713096,1.1156635570902467,1.0299352883490893,1.2247139995134901
eICU-CRD,at_least_24h_remaining_in_icu,hourly_repeated_instability_24h,4787,3845,942,37.72581587389703,40.818252677708806,3.0924368038117764,-1.6861817647372237,7.538509833933061,1.0819713697948536,0.9567394653267897,1.2182212247043205
eICU-CRD,at_least_24h_remaining_in_icu,hourly_repeated_hypotension_24h,4787,3845,942,35.381315074049375,38.0028934921501,2.6215784181007287,-1.9476277684993986,6.984493758910537,1.0740949965430635,0.9491149850354578,1.2165061280402467
eICU-CRD,at_least_24h_remaining_in_icu,hourly_repeated_bradycardia_24h,4787,3845,942,3.2609710644133103,3.566714463394785,0.30574339898147496,-1.3424252754497201,2.119670295120589,1.0937583906579318,0.5954405999916534,1.8497041897249316
eICU-CRD,at_least_24h_remaining_in_icu,hourly_any_instability_24h,4787,3845,942,54.84086681892188,61.933170305037,7.092303486115115,2.1133034376771507,11.964194134233866,1.1293251528925148,1.0384772398008975,1.2264462017566613
eICU-CRD,enriched_propensity_score,hourly_repeated_instability_24h,5641,4472,1169,35.28392205596486,39.263851408107115,3.979929352142253,-0.44109915106050124,8.352638915175499,1.1127972492918892,0.9878671043818967,1.2490200629443022
eICU-CRD,enriched_propensity_score,hourly_repeated_hypotension_24h,5641,4472,1169,33.22074536970428,36.34199873355202,3.1212533638477313,-1.606254137627182,7.240819352910732,1.0939549467994225,0.9549210434609164,1.2297150401301862
eICU-CRD,enriched_propensity_score,hourly_repeated_bradycardia_24h,5641,4472,1169,2.970916047476355,3.5692954598544024,0.5983794123780476,-0.9239600460552732,2.313955525737411,1.2014124272836122,0.7102704674598908,1.8977088594861558
eICU-CRD,enriched_propensity_score,hourly_any_instability_24h,5641,4472,1169,52.984063281593876,60.43540492554095,7.451341643947074,2.5982483079149965,11.756370315140172,1.1406336392953764,1.0485278428926694,1.2319735969686383
eICU-CRD,all_hospitals_no_hospital_FE,hourly_repeated_instability_24h,6693,5520,1173,32.85805044686717,38.023198127247035,5.165147680379867,0.6587753819147285,9.691967927203276,1.1571958046851296,1.0182510291236717,1.3203861223814959
eICU-CRD,all_hospitals_no_hospital_FE,hourly_repeated_hypotension_24h,6693,5520,1173,31.105343083865854,35.17233870103188,4.066995617166031,-0.31492349523510754,8.416588997268917,1.1307491001208585,0.9907896804542328,1.2904908879136454
eICU-CRD,all_hospitals_no_hospital_FE,hourly_repeated_bradycardia_24h,6693,5520,1173,2.6953794070245887,3.7206019257023,1.025222518677711,-0.2529154399731954,2.4060065788725042,1.3803629707958063,0.913989422093871,1.985167358285411
eICU-CRD,all_hospitals_no_hospital_FE,hourly_any_instability_24h,6693,5520,1173,51.31300533728466,59.95807106414931,8.645065726864654,4.55906243510968,12.960052233630753,1.1684770882165236,1.087019579503665,1.2601698147671925
MIMIC-IV,alternative_bp_source_rule,hourly_repeated_instability_nibp_priority_24h,7748,7416,332,40.077435618658406,42.226617097020785,2.149181478362383,-4.344889183538339,7.537107607702727,1.0536257234323099,0.895644002427227,1.195624798069986
MIMIC-IV,alternative_bp_source_rule,hourly_repeated_instability_any_source_24h,7748,7416,332,41.51472913179399,43.83617361553196,2.3214444837379666,-4.171489977963851,7.717856546381297,1.0559185747392987,0.9052865604550278,1.1926121267565197
MIMIC-IV,alternative_bp_source_rule,hourly_repeated_instability_concordant_source_24h,7748,7416,332,38.12021576453722,40.69323714311207,2.573021378574847,-3.5213583228761975,8.2650919477487,1.0674975554825819,0.9100296400395709,1.2278934608937562
MIMIC-IV,exclude_24h_crossover,hourly_repeated_instability_24h,6881,6607,274,38.56485688712682,43.0164758735718,4.451618986444977,-1.5905406297358977,12.502103868745001,1.115432011052813,0.961539375449301,1.3376043229785368
MIMIC-IV,exclude_24h_crossover,hourly_repeated_hypotension_24h,6881,6607,274,36.34869799205206,39.16518192673515,2.816483934683095,-3.6736321499933036,10.657482910829588,1.0774851395034546,0.900941107280964,1.3051380027165895
MIMIC-IV,exclude_24h_crossover,hourly_repeated_bradycardia_24h,6881,6607,274,3.2867163309204903,5.316684875768085,2.029968544847595,-0.5571582894583239,4.976677127374069,1.6176281554176821,0.8561379815681585,2.901246519211188
MIMIC-IV,exclude_24h_crossover,hourly_any_instability_24h,6881,6607,274,65.75349724952576,63.88031680988162,-1.873180439644151,-7.718377284498857,4.144418381203828,0.971512078931168,0.8853872345861088,1.065364552809334
MIMIC-IV,at_least_20_observed_hour_bins,hourly_repeated_instability_24h,6729,6444,285,41.398227758454325,45.782935881585146,4.384708123130821,-1.7466276271526249,11.027516777328819,1.105915358230169,0.9588008432072661,1.2760853482231944
MIMIC-IV,at_least_20_observed_hour_bins,hourly_repeated_hypotension_24h,6729,6444,285,39.334227414237006,42.69476251179077,3.360535097553763,-1.8292286553716193,9.555349131990583,1.0854353909678525,0.9520914748260716,1.2483204933237924
MIMIC-IV,at_least_20_observed_hour_bins,hourly_repeated_bradycardia_24h,6729,6444,285,3.5509237951184636,4.464356226285938,0.9134324311674741,-1.795216405176827,3.76920765349998,1.2572379707002417,0.5655461196902125,2.3659719980448486
MIMIC-IV,at_least_20_observed_hour_bins,hourly_any_instability_24h,6729,6444,285,67.43579762687946,68.24053829640206,0.8047406695226078,-5.069119984527179,7.108982743687606,1.0119334344345599,0.9266134972967107,1.1086179299820735
MIMIC-IV,at_least_24h_remaining_in_icu,hourly_repeated_instability_24h,6799,6497,302,40.803121838997896,45.11073478918724,4.307612950189343,-1.1808486153081987,10.415048348962063,1.1055706709694038,0.9716907566312573,1.2600214454399903
MIMIC-IV,at_least_24h_remaining_in_icu,hourly_repeated_hypotension_24h,6799,6497,302,38.65347095867872,41.53698133100389,2.8835103723251656,-3.343762474878071,8.833335977689021,1.0745990023873326,0.9137344839189111,1.234734309399828
MIMIC-IV,at_least_24h_remaining_in_icu,hourly_repeated_bradycardia_24h,6799,6497,302,3.5056053245403422,5.324444298102354,1.8188389735620119,-0.8754203993574039,4.75311675716583,1.5188373490961935,0.7788929230854088,2.573707748852598
MIMIC-IV,at_least_24h_remaining_in_icu,hourly_any_instability_24h,6799,6497,302,67.53278531366394,68.99933291893386,1.46654760526993,-4.11806254133737,7.712591224616054,1.0217160835060835,0.9407272604496119,1.1146710089686935
MIMIC-IV,enriched_propensity_score,hourly_repeated_instability_24h,7748,7416,332,40.09044759652433,42.203810131992434,2.1133625354681107,-4.288734840726427,7.95162826619438,1.0527148650655458,0.8965300232983981,1.2044811083934839
MIMIC-IV,enriched_propensity_score,hourly_repeated_hypotension_24h,7748,7416,332,38.15443395305777,39.10202335678651,0.9475894037287436,-4.85108140400553,6.521999895139868,1.024835629979325,0.8750775456750428,1.1785875449511931
MIMIC-IV,enriched_propensity_score,hourly_repeated_bradycardia_24h,7748,7416,332,3.166124609977513,4.709354498033727,1.543229888056214,-0.9800781654756399,3.9777911755897644,1.4874191884908707,0.7231180438610606,2.524140673910211
MIMIC-IV,enriched_propensity_score,hourly_any_instability_24h,7748,7416,332,66.9241427699155,65.762137933094,-1.1620048368215063,-7.08104377878056,4.1582663987708095,0.9826369858659757,0.8949502065610883,1.063245012253126
