database,analysis,outcome,analysis_n,propofol_n,dexmedetomidine_n,propofol_weighted_percent,dexmedetomidine_weighted_percent,risk_difference_percent,RD_CI95_low,RD_CI95_high,risk_ratio,RR_CI95_low,RR_CI95_high
eICU-CRD,timezero_vasopressor_not_excluded,hourly_repeated_instability_24h,6579,5070,1509,36.646225205065406,39.45160449655494,2.805379291489535,-1.7205011434709299,7.302489375899114,1.0765530221950872,0.9556361859805614,1.2126252325587141
eICU-CRD,timezero_vasopressor_not_excluded,hourly_repeated_hypotension_24h,6579,5070,1509,34.4424064507327,36.941785548722926,2.4993790979902286,-1.9508882721939729,6.954990115020745,1.0725669125810184,0.9451749162734032,1.2172051271397444
eICU-CRD,timezero_vasopressor_not_excluded,hourly_repeated_bradycardia_24h,6579,5070,1509,3.323564113936836,3.2975760950781465,-0.025988018858689316,-1.4778472956264677,1.6442994678898,0.9921806777399862,0.6114839656828653,1.6136091040770475
eICU-CRD,timezero_vasopressor_not_excluded,hourly_any_instability_24h,6579,5070,1509,54.51819110665258,61.29787691175407,6.779685805101487,2.6569461257492404,11.253933813248613,1.1243563967821044,1.046493585241078,1.2173391381749772
MIMIC-IV,timezero_vasopressor_not_excluded,hourly_repeated_instability_24h,9949,9601,348,39.922402936010634,42.48393051563787,2.5615275796272376,-3.0779093863119784,8.847207003750746,1.0641626603421885,0.9257827508178595,1.226312285629306
MIMIC-IV,timezero_vasopressor_not_excluded,hourly_repeated_hypotension_24h,9949,9601,348,37.88684265641095,39.49545558642229,1.6086129300113383,-4.092423039040683,7.293988815253581,1.0424583527479332,0.8970623430917706,1.19780571011107
MIMIC-IV,timezero_vasopressor_not_excluded,hourly_repeated_bradycardia_24h,9949,9601,348,3.219632412203404,4.835042635271142,1.6154102230677376,-0.7216521135272063,3.977603542135106,1.5017374706953603,0.7945470141418198,2.4922274361831462
MIMIC-IV,timezero_vasopressor_not_excluded,hourly_any_instability_24h,9949,9601,348,67.83310923115806,66.51008815644789,-1.3230210747101623,-6.948517521014411,4.489618891131751,0.9804959393767188,0.8991817640948611,1.067962355628144
