database,covariate,SMD_before,SMD_after
eICU-CRD,age10,0.11389199779645207,1.4150412007176198e-09
eICU-CRD,female,-0.2189149028179349,-2.5203978736366958e-09
eICU-CRD,weight10,-0.06341640544380643,1.4362561045500889e-09
eICU-CRD,map10,-0.05216093827047927,2.371211438706841e-09
eICU-CRD,hr10,0.014112574642170705,5.22512113521936e-11
eICU-CRD,index6,0.35271421940972564,1.565761731993367e-09
eICU-CRD,vent,-0.7208109435483108,-1.1875928297946357e-09
eICU-CRD,bp_obs_log,0.3411146709210605,2.1508484783646533e-09
eICU-CRD,hr_obs_log,0.3566296788721926,2.1926824910393905e-09
eICU-CRD,baseline_midazolam,-0.04434999843585036,2.9138815598847723e-10
eICU-CRD,baseline_opioid,-0.15056453939552547,4.3836171671227117e-10
eICU-CRD,baseline_ketamine,-0.02114774672189068,-6.2629359661679e-05
eICU-CRD,unit_type_CSICU,0.18946520454928653,7.103280696097969e-10
eICU-CRD,unit_type_CTICU,0.09263708242094995,3.7469224141008174e-10
eICU-CRD,unit_type_Cardiac ICU,-0.16312340141068313,-1.1102979076849999e-08
eICU-CRD,unit_type_MICU,0.06979648296830304,6.883304336895222e-10
eICU-CRD,unit_type_Med-Surg ICU,-0.26606412680419855,1.8511870738623957e-09
eICU-CRD,unit_type_Neuro ICU,-0.23740764371862166,5.183444309672785e-10
eICU-CRD,unit_type_SICU,0.17258598422705917,6.10265551864197e-10
eICU-CRD,admission_source_Direct Admit,-0.02681974632386701,5.722543198834925e-10
eICU-CRD,admission_source_Emergency Department,-0.3761500718605798,-2.719229871962638e-09
eICU-CRD,admission_source_Floor,0.11701293056071235,7.323574679209195e-10
eICU-CRD,admission_source_Operating Room,0.3320700067867259,1.3365084128084741e-09
eICU-CRD,admission_source_Other,0.03833590765186165,1.8397480633543832e-10
eICU-CRD,admission_source_Other Hospital,-0.08357252650731409,2.849547747326839e-10
eICU-CRD,admission_source_PACU,-0.04200255668308668,2.3870059065221227e-10
eICU-CRD,admission_source_Recovery Room,-0.03490352151978317,4.392283158589736e-10
eICU-CRD,admission_source_Step-Down Unit (SDU),0.06135365215743689,2.719963396505642e-10
eICU-CRD,hospital_id_141,0.024739933266137392,2.4814292589442723e-10
eICU-CRD,hospital_id_142,-0.009206295999035505,3.851538940077051e-10
eICU-CRD,hospital_id_143,-0.05453330343102798,6.901251120432519e-11
eICU-CRD,hospital_id_144,-0.11411118416429326,8.625480571997638e-11
eICU-CRD,hospital_id_146,0.014856233715864343,1.6106386398634192e-10
eICU-CRD,hospital_id_148,0.09258578805175548,3.882354488073682e-10
eICU-CRD,hospital_id_152,-0.08437683494698094,1.4738469994372637e-10
eICU-CRD,hospital_id_154,-0.08621501157963588,1.9091457441340944e-10
eICU-CRD,hospital_id_155,-0.05028229562352293,1.2486435299481577e-10
eICU-CRD,hospital_id_157,-0.0357881920714899,2.326397369897172e-10
eICU-CRD,hospital_id_158,-0.03987560666962044,9.064596380358147e-11
eICU-CRD,hospital_id_165,-0.14867670328622648,2.6038644206690383e-10
eICU-CRD,hospital_id_167,-0.053112398240277504,4.933072062479349e-10
eICU-CRD,hospital_id_171,0.034002940148939856,2.3913057892572175e-10
eICU-CRD,hospital_id_174,0.006682710134635078,7.894058427058505e-11
eICU-CRD,hospital_id_175,-0.018274303461819928,1.0020009532261919e-10
eICU-CRD,hospital_id_176,0.21689086362618748,4.3480450936364584e-10
eICU-CRD,hospital_id_180,-0.006308621522123698,1.5745369051832583e-10
eICU-CRD,hospital_id_181,-0.05531143059793303,1.6785737346098316e-10
eICU-CRD,hospital_id_182,0.01886989958389726,1.3296218469563986e-10
eICU-CRD,hospital_id_183,0.11128347434148482,3.806885952184972e-10
eICU-CRD,hospital_id_184,0.02744871994907865,2.1460814567608137e-10
eICU-CRD,hospital_id_188,0.0958080579883634,4.2498364868343524e-10
eICU-CRD,hospital_id_243,0.14136959834413834,5.028291148259329e-10
eICU-CRD,hospital_id_244,0.06599236064790248,1.0937112590278314e-10
eICU-CRD,hospital_id_248,0.019613116095144916,2.1112168046915746e-10
eICU-CRD,hospital_id_252,0.285192404868704,4.045719326573394e-10
eICU-CRD,hospital_id_253,0.11422153794670031,2.5292921364721936e-10
eICU-CRD,hospital_id_268,-0.009491997468597592,1.6529881730503763e-10
eICU-CRD,hospital_id_269,-0.03057517713559726,7.164347124415547e-11
eICU-CRD,hospital_id_271,0.09959016915515131,2.854463239127357e-10
eICU-CRD,hospital_id_272,-0.06426464083502377,8.501169593245576e-11
eICU-CRD,hospital_id_273,0.006682710134635078,7.32366756926888e-11
eICU-CRD,hospital_id_275,-0.038179062404026486,1.6555811035518823e-10
eICU-CRD,hospital_id_277,-0.14962938824965644,8.606584086725778e-11
eICU-CRD,hospital_id_279,0.08161088994920496,1.6075574002435028e-10
eICU-CRD,hospital_id_280,-0.035159439098220904,2.2515789682186515e-10
eICU-CRD,hospital_id_281,0.046993614951125945,3.964095857332259e-10
eICU-CRD,hospital_id_282,-0.08359924695575031,8.562331473553185e-11
eICU-CRD,hospital_id_283,-0.10349857114716486,1.1774731438277348e-10
eICU-CRD,hospital_id_300,-0.040699419980549406,4.3329684383765795e-10
eICU-CRD,hospital_id_301,-0.006263816946147832,1.1598946023766665e-10
eICU-CRD,hospital_id_307,-0.11461780967651615,2.394783828816585e-10
eICU-CRD,hospital_id_310,-0.02192057220359428,1.0915800187608149e-10
eICU-CRD,hospital_id_318,-0.13378098646708886,8.167137100905857e-11
eICU-CRD,hospital_id_331,-0.023234283353639307,1.1694036098121654e-10
eICU-CRD,hospital_id_336,-0.1373739044383541,1.4890043653636988e-10
eICU-CRD,hospital_id_337,-0.018274303461819928,8.55365735080485e-11
eICU-CRD,hospital_id_338,0.06938635258003348,5.373431504516152e-10
eICU-CRD,hospital_id_345,-0.014253943788047714,2.2537020246635961e-10
eICU-CRD,hospital_id_352,-0.02041292485180714,8.671773561811476e-11
eICU-CRD,hospital_id_394,-0.15291622484403367,1.3390077458105844e-10
eICU-CRD,hospital_id_417,-0.16720126853723344,1.8561673586563537e-10
eICU-CRD,hospital_id_419,-0.05283315484503986,7.359513826274815e-11
eICU-CRD,hospital_id_420,-0.24345921628430553,-1.777952773368479e-08
eICU-CRD,hospital_id_422,0.0035986308472610497,9.723827942053071e-11
eICU-CRD,hospital_id_424,-0.0013194666676200862,4.422961530947339e-11
eICU-CRD,hospital_id_428,-0.055830676686595006,6.289945764665284e-11
eICU-CRD,hospital_id_435,-0.0013194666676200862,7.987802800736748e-11
eICU-CRD,hospital_id_440,-0.08583095401308038,2.313161772110155e-10
eICU-CRD,hospital_id_444,0.19838836056266568,4.0018530440035854e-10
eICU-CRD,hospital_id_445,0.03516854371275758,1.216385339771483e-10
eICU-CRD,hospital_id_449,-0.2733830555305534,2.2849632366730554e-10
eICU-CRD,hospital_id_452,0.19323007662895703,3.746596851153815e-10
eICU-CRD,hospital_id_458,-0.04392107585940398,4.484434412658182e-10
eICU-CRD,hospital_id_459,-0.06426464083502377,8.503771682783649e-11
eICU-CRD,hospital_id_79,-0.10808820463815753,1.8545414476937584e-10
MIMIC-IV,age10,0.009871982799652684,-1.1300832519784968e-07
MIMIC-IV,female,-0.1524980350156652,-6.493982814334898e-08
MIMIC-IV,weight10,-0.01368065403835743,-4.096923191432528e-08
MIMIC-IV,map10,0.3220191782567444,2.317121592051267e-07
MIMIC-IV,hr10,0.4953697630697099,1.8484035083061584e-07
MIMIC-IV,index6,0.7454229644123218,2.2033712878944213e-07
MIMIC-IV,vent,-1.0378204570302552,-3.117611292975099e-07
MIMIC-IV,bp_obs_log,1.2775811472070462,4.320701736110527e-07
MIMIC-IV,hr_obs_log,1.3317657510249317,4.475776662264842e-07
MIMIC-IV,baseline_midazolam,0.1905945510229224,1.4323305746657623e-07
MIMIC-IV,baseline_opioid,0.1216884717810054,1.6299684150100286e-07
MIMIC-IV,baseline_ketamine,0.11782936745248411,3.775660701513651e-08
MIMIC-IV,unit_type_Coronary Care Unit (CCU),0.1338072946131263,-4.06574453671339e-08
MIMIC-IV,unit_type_Medical Intensive Care Unit (MICU),0.30730067537153666,2.0248286347624044e-07
MIMIC-IV,unit_type_Medical/Surgical Intensive Care Unit (MICU/SICU),0.19446692295349596,-5.0771984951044286e-08
MIMIC-IV,unit_type_Neuro Intermediate,0.2229662012056826,8.380763808771e-08
MIMIC-IV,unit_type_Neuro Stepdown,0.07276246027234137,4.8316331774820434e-08
MIMIC-IV,unit_type_Neuro Surgical Intensive Care Unit (Neuro SICU),0.07825890477518749,8.354868309666812e-08
MIMIC-IV,unit_type_Other,0.03945617852657637,3.8331148700114045e-08
MIMIC-IV,unit_type_Surgical Intensive Care Unit (SICU),-0.1809994229085073,5.980080939607793e-08
MIMIC-IV,unit_type_Trauma SICU (TSICU),-0.19235970875879957,1.1961655221311243e-07
