database,analysis,outcome,analysis_n,propofol_n,dexmedetomidine_n,propofol_weighted_percent,dexmedetomidine_weighted_percent,risk_difference_percent,RD_CI95_low,RD_CI95_high,risk_ratio,RR_CI95_low,RR_CI95_high
eICU-CRD,at_least_3_baseline_hour_bins,hourly_repeated_instability_24h,2191,1595,596,32.14380851197059,38.27802372925537,6.134215217284778,-1.681056964477777,12.969805131207327,1.190836602793983,0.9514316385916023,1.4477910678542076
MIMIC-IV,at_least_3_baseline_hour_bins,hourly_repeated_instability_24h,1389,1181,208,38.97136195603022,40.51927107993282,1.5479091239026022,-6.408792550326221,10.412931534217,1.0397191436534614,0.840746729943461,1.2964487399104347
MIMIC-IV,rass_missing_indicator_adjusted,hourly_repeated_instability_24h,7748,7416,332,40.55920662845393,42.068511978080494,1.5093053496265663,-4.792955262411235,7.332694549638297,1.0372123982466592,0.885251555574274,1.1889891942537834
MIMIC-IV,rass_complete_case_adjusted,hourly_repeated_instability_24h,2458,2196,262,41.36364747218059,41.931790277737846,0.568142805557259,-7.204279931962305,8.226661242539215,1.0137353168851797,0.8354688657087065,1.209364559834774
